Globiom_Reg,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,,,,,,,
ANZ,Regrowth,68.01036172,58.82101322,51.82876881,51.80929897,50.54203574,48.40648296,46.18824907,44.24227793,42.11526667,40.00459631,38.56637679,,,,,,,,,,,
ANZ,Extensive,21.23042689,22.33371451,23.09453896,23.78544097,23.86773215,24.51743467,25.13373471,25.70073313,26.22768752,26.71640532,27.16283742,,,,,,,,,,,
ANZ,Intensive,5.866817691,7.572253568,8.333078022,8.923622632,9.567820513,10.21749312,10.83849108,11.43237726,12.00139648,12.66361328,13.1804859,,,,,,,,,,,
ArgentinaReg,Regrowth,6.70817915,4.549999675,0.213658615,0.212890152,0.211891151,0.210592449,0.210386519,0.208636429,0.20636131,0.20636131,0.20636131,,,,,,,,,,,
ArgentinaReg,Extensive,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,,,,,,,,,,,
ArgentinaReg,Intensive,17.04642998,18.24526404,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,,,,,,,,,,,
BrazilReg,Regrowth,8.502650843,,,,,,,,,,,,,,,,,,,,,
BrazilReg,Extensive,24.59381914,24.59381914,24.59381914,24.59381914,24.59381914,24.59381914,25.30911654,25.30911654,25.30911654,25.30911654,25.30911654,,,,,,,,,,,
BrazilReg,Intensive,24.84939588,15.06784792,9.97827992,12.7737777,12.70020475,13.3501603,14.2597564,14.81956428,16.16116665,17.44446947,18.4353623,,,,,,,,,,,
CanadaReg,Regrowth,180.3115571,180.3115571,179.1371251,178.0970209,175.8154995,173.4578367,170.9484353,168.5352035,165.4190837,163.1990444,161.7768196000,0.833066957,0.845174065,0.844317043,0.84073887,0.835278825,0.829248655,0.820782769,0.814116352,0.801925469,0.793996395,0.789380276
CanadaReg,Extensive,0,0,0,0,0,0,0.53959539,0.53959539,1.527464076,1.527464076,1.5274640760,0,0,0,0,0,0,0.002590785,0.002606538,0.007404903,0.007431422,0.007453169
CanadaReg,Intensive,36.13149782,33.03095382,33.03095382,33.73691133,34.67169857,35.71686094,36.78685249,37.94131512,39.33083087,40.81478282,41.6372691100,0.166933043,0.154825935,0.155682957,0.15926113,0.164721175,0.170751345,0.176626446,0.18327711,0.190669627,0.198572183,0.203166554
,,216.4430549,213.3425109,212.1680789,211.8339322,210.4871981,209.1746976,208.2748832,207.016114,206.2773786,205.5412913,204.9415528,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000
ChinaReg,Regrowth,102.9051734,97.41088637,92.92167461,77.62378208,67.75454928,61.33102775,58.40519509,55.77266613,52.89234315,50.2729314,48.39320273,,,,,,,,,,,
ChinaReg,Extensive,23.04577561,24.14866655,26.24456268,31.14799022,34.28886419,36.61102774,37.53712812,38.08757066,38.58725029,39.63377349,40.3791615,,,,,,,,,,,
ChinaReg,Intensive,58.41911414,59.86662228,61.9511859,66.96646343,70.21520519,72.61120286,73.03363695,73.48549952,74.20942008,74.9917821,76.01336107,,,,,,,,,,,
CongoBasin,Regrowth,147.8987527,137.6772716,130.4989461,128.5081039,126.361624,124.0696214,120.6740311,118.5427092,115.926074,112.2593777,107.7102254,,,,,,,,,,,
CongoBasin,Extensive,82.54029392,82.56592636,82.56592636,82.56592636,82.56592636,82.91697408,82.91697408,82.91697408,83.12369033,83.66196649,84.81005096,,,,,,,,,,,
CongoBasin,Intensive,0.172633055,0.97697578,1.754055277,2.893374944,3.820718759,4.446042757,3.651263306,3.085471069,3.929679549,5.152072435,6.454646142,,,,,,,,,,,
EU,Regrowth,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
EU,Extensive,48.47496996,42.98590103,37.410212,34.88768894,32.99518574,31.46674891,30.65677344,30.03423001,29.72829448,29.56959965,29.53512623,,,,,,,,,,,
EU,Intensive,85.35233005,91.45561777,97.0313068,99.55382986,101.4466536,102.9750904,103.7874016,104.409945,104.7158805,104.8745754,104.9090488,,,,,,,,,,,
Former_USSR,Regrowth,258.5748202,246.7169436,231.5971103,224.8204644,217.1957845,214.346349,212.6021798,210.5671793,207.7108716,204.3774357,202.7890387,,,,,,,,,,,
Former_USSR,Extensive,391.6159669,395.8739906,401.4887137,405.4744943,409.3641518,409.3641518,410.2474819,410.2474819,410.2474819,411.9817741,411.9817741,,,,,,,,,,,
Former_USSR,Intensive,8.980230113,14.66311164,22.93819558,26.92397621,30.68542277,33.53485827,35.38597927,37.43427036,40.29057808,41.88963088,43.47802792,,,,,,,,,,,
IndiaReg,Regrowth,11.0015096,6.131785858,3.930301691,0.254164174,,,,,,,,,,,,,,,,,,
IndiaReg,Extensive,1.708665656,3.616929322,4.483095559,4.456253129,3.665020547,3.274080459,2.819540619,2.573809648,2.520025539,2.455655771,2.374633365,,,,,,,,,,,
IndiaReg,Intensive,55.43250074,57.67751682,58.56726675,59.6178124,59.57516444,56.20963754,53.13084453,50.88390279,49.57128618,49.10028313,48.84558303,,,,,,,,,,,
IndonesiaReg,Regrowth,34.66917683,32.65310661,30.26486071,29.41055134,28.75429677,28.04149116,26.39365497,25.5902054,25.06376448,24.61961366,24.1216905,,,,,,,,,,,
IndonesiaReg,Extensive,2.187265893,2.187265893,2.237290632,2.379674589,2.459996594,2.646257484,3.533348369,4.379985236,4.639464894,5.532936786,6.268876855,,,,,,,,,,,
IndonesiaReg,Intensive,9.683930631,8.9184079,8.923511051,8.924580696,8.998469132,9.00447666,10.55391043,12.63450859,13.80159759,14.50539082,15.24334286,,,,,,,,,,,
JapanReg,Regrowth,10.89329234,10.89329234,10.89329234,10.89329234,10.85615373,10.85241333,10.85241333,10.85241333,10.66564601,10.25798201,9.953786982,,,,,,,,,,,
JapanReg,Extensive,4.716113331,4.716113331,4.716113331,4.716113331,4.716113331,4.726656526,4.795063689,4.795063689,4.915073205,5.148051777,5.259988639,,,,,,,,,,,
JapanReg,Intensive,5.900194009,5.839950009,5.793106009,4.869006343,4.978580148,5.033294439,5.067364439,5.098907622,5.288909084,5.479620401,5.679523309,,,,,,,,,,,
MalaysiaReg,Regrowth,10.49033144,10.40630307,8.083288184,6.772473796,6.181945961,5.46045341,3.338577969,2.677682623,2.256614236,0.529889323,0.036547,,,,,,,,,,,
MalaysiaReg,Extensive,0.516057057,0.516057057,1.284210348,2.032481855,2.102774353,2.370056185,3.861803091,4.900924549,5.528391384,6.271690361,6.270300194,,,,,,,,,,,
MalaysiaReg,Intensive,6.309573991,6.305626323,7.860120932,8.983761711,9.748479573,9.867649055,10.08575898,10.08575185,10.08574651,11.09445271,11.69693117,,,,,,,,,,,
MexicoReg,Regrowth,28.09460554,24.17691503,20.99254141,20.75709185,20.30427259,19.89187693,19.12559977,18.57223896,16.58117662,14.60936835,12.5615782,,,,,,,,,,,
MexicoReg,Extensive,10.13337566,10.13337566,10.13337566,10.13337566,10.65922221,11.16294738,12.11363537,12.98796209,14.19368692,15.27200191,16.54730197,,,,,,,,,,,
MexicoReg,Intensive,3.612097831,3.553948345,3.978561965,3.938815227,4.305301967,5.272606328,6.223294317,7.097621042,8.303345873,9.554162539,10.82946259,,,,,,,,,,,
MidEastNorthAfr,Regrowth,2.008140206,1.279022039,0.67759822,0.00477835,,,,,,,,,,,,,,,,,,
MidEastNorthAfr,Extensive,0.234643189,0.449411559,0.710168611,0.285743205,0.279007786,0.27025174,0.258868882,0.244071165,0.237636047,0.237636047,0.237636047,,,,,,,,,,,
MidEastNorthAfr,Intensive,6.045081548,6.499053493,6.827409471,5.415510322,4.568813977,3.829547302,3.652638192,3.624915364,3.569085504,3.436579698,3.295231477,,,,,,,,,,,
Pacific_Island,Regrowth,6.515691798,4.872903908,3.464676396,3.464676396,3.455244883,3.455244883,3.455244883,3.455244883,3.433419612,3.415719855,3.407808297,,,,,,,,,,,
Pacific_Island,Extensive,0.36731848,0.36731848,0.677697391,1.270290664,1.838971762,2.384557751,2.648194475,2.904868482,3.405108374,3.884886323,4.345111166,,,,,,,,,,,
Pacific_Island,Intensive,0.793978616,1.034319318,1.501978418,1.932102848,2.498824436,2.862262469,3.283043259,3.677403268,4.17764316,4.657421109,5.298702793,,,,,,,,,,,
RCAM,Regrowth,17.18822113,14.06881597,12.36458924,11.350499,10.50813641,9.167905572,7.542891136,5.91436193,4.673367953,3.499371089,2.441411402,,,,,,,,,,,
RCAM,Extensive,4.484064264,4.484064264,4.671551375,5.09959426,4.994897014,5.127651199,5.865022272,6.334088616,6.976037584,7.807972814,8.583020117,,,,,,,,,,,
RCAM,Intensive,3.678223635,3.891219854,4.122283563,4.098137899,4.186641185,4.449147903,5.316404367,6.118181431,7.063184629,7.905624054,8.839321238,,,,,,,,,,,
RCEU,Regrowth,4.816467783,4.816467783,4.539650095,2.880921806,1.493099914,0.297716256,,,,,,,,,,,,,,,,
RCEU,Extensive,1.249772711,1.249772711,1.347249385,1.760980825,2.196567186,2.631773444,2.61374646,2.607176439,2.588293256,2.588293256,2.588293256,,,,,,,,,,,
RCEU,Intensive,0.1473003,0.1473003,0.246390439,0.692961627,1.161558375,1.653255175,1.905316415,1.903955006,1.903955006,1.903955006,1.903955006,,,,,,,,,,,
ROWE,Regrowth,6.634142914,6.634142914,5.440099863,5.260804524,4.885630672,4.398975907,3.899453093,3.366571783,2.819370164,2.385125772,2.002795446,,,,,,,,,,,
ROWE,Extensive,1.44377652,1.44377652,1.974738394,1.972633267,2.013536715,2.141386606,2.249020502,2.372623513,2.532530746,2.646978473,2.718296668,,,,,,,,,,,
ROWE,Intensive,3.451021899,3.433583899,3.948614325,3.949350391,4.035514345,4.143119106,4.280886734,4.436867714,4.638866307,4.813944804,4.980908608,,,,,,,,,,,
RSAM,Regrowth,92.0486911,69.41485913,58.23215876,56.45362765,54.29488763,52.12394147,51.2219099,50.82119394,50.52939487,49.98587841,49.7194154,,,,,,,,,,,
RSAM,Extensive,26.7639507,26.7639507,29.47987172,32.03509454,32.72325157,32.72325157,32.72325157,32.72325157,34.92410316,37.07259648,39.16850058,,,,,,,,,,,
RSAM,Intensive,0.005609703,0.044798448,2.073623701,4.634354315,7.064360903,9.024914571,10.88473277,12.92628465,15.12713623,17.27562955,19.37153366,,,,,,,,,,,
RSAS,Regrowth,2.922023851,2.63420372,2.524319474,0.085887952,0.00257645,,,,,,,,,,,,,,,,,
RSAS,Extensive,1.608316307,1.63866557,1.693607693,2.445567116,2.440225441,2.428891389,2.153378579,1.711504395,1.711504395,1.711504395,1.711504395,,,,,,,,,,,
RSAS,Intensive,10.42644544,10.33012815,10.21092746,11.00008056,10.70055707,10.21156738,9.024712348,8.717651207,8.565605035,8.565605035,8.362118268,,,,,,,,,,,
RSEA_OPA,Regrowth,29.35241958,23.08241338,19.24263518,17.4214707,11.72170604,6.773111493,5.167254478,4.578340136,3.652128118,3.507495391,3.138923374,,,,,,,,,,,
RSEA_OPA,Extensive,5.960927344,5.960927344,6.329367491,6.539797079,8.391197282,9.699461741,9.211947731,9.091137823,9.126043448,9.20913864,9.468379769,,,,,,,,,,,
RSEA_OPA,Intensive,8.535908189,7.39109162,7.558844136,8.109917443,9.290676858,10.96429111,11.59019043,11.58943225,12.12848021,12.16810808,12.16810808,,,,,,,,,,,
RSEA_PAC,Regrowth,27.18884745,23.66028572,21.78066483,18.24145577,13.04625459,6.804068735,2.433834169,0.0000495,,,,,,,,,,,,,,
RSEA_PAC,Extensive,2.183877195,2.183877195,2.45337722,3.456192486,4.819943229,6.757193504,7.832332288,9.020979644,9.016377939,9.015663219,8.998310322,,,,,,,,,,,
RSEA_PAC,Intensive,7.89645334,7.97094757,8.378455437,9.460176088,10.82392683,12.85660454,14.58829435,16.16060877,16.16648865,16.16648865,16.16648865,,,,,,,,,,,
SouthAfrReg,Regrowth,17.59807285,17.59807285,16.11598,12.79586455,9.785356162,7.137848493,4.150947442,1.996193363,0.026048265,,,,,,,,,,,,,
SouthAfrReg,Extensive,2.196584356,2.196584356,2.90050727,3.70630627,4.466537603,5.232820079,6.353955247,7.184144736,7.955593557,7.955593557,7.955593557,,,,,,,,,,,
SouthAfrReg,Intensive,2.589302044,2.549148044,3.31190598,4.27886478,5.089016066,5.875762406,7.073847078,8.045056889,9.103039372,9.129087636,9.129087636,,,,,,,,,,,
SouthKorea,Regrowth,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SouthKorea,Extensive,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,,,,,,,,,,,
SouthKorea,Intensive,2.014383223,1.892778723,1.867664223,1.867664223,1.86763155,1.86763155,1.846293638,1.806062537,1.806062537,1.806062537,1.805547603,,,,,,,,,,,
EasternAf,Regrowth,25.3928393,16.421016,12.14237164,5.588129972,0.061571588,,,,,,,,,,,,,,,,,
EasternAf,Extensive,2.300226002,3.588806461,4.75094087,6.636770765,8.521687233,8.455245484,8.423751176,7.399182336,6.889905857,6.576609056,6.266890055,,,,,,,,,,,
EasternAf,Intensive,20.92411118,22.51142758,23.81125609,25.84052923,27.90279545,27.9642491,27.9642491,26.40639972,24.70813851,24.70813851,24.70813851,,,,,,,,,,,
SouthernAf,Regrowth,204.1507946,193.2338485,187.2963353,185.8185855,183.7502617,177.0208236,172.5951915,167.7533088,159.2590421,150.7471202,142.5652184,,,,,,,,,,,
SouthernAf,Extensive,6.226007245,6.226007245,6.226007245,6.226007245,6.226007245,7.647980581,7.647980581,7.647980581,9.334930048,10.92804781,12.43478691,,,,,,,,,,,
SouthernAf,Intensive,5.575513724,5.914398217,6.094101663,7.043195253,7.957059908,9.096842131,9.045827453,8.999598766,10.68654823,12.28072093,13.78939371,,,,,,,,,,,
WesternAf,Regrowth,54.62635351,40.02466378,34.47318417,19.90371532,6.839249953,0.0878263,,,,,,,,,,,,,,,,
WesternAf,Extensive,5.75938264,7.501209581,8.80498583,11.45852684,13.24668788,12.57534031,8.954645141,7.758795193,7.687785068,7.646298346,7.611926136,,,,,,,,,,,
WesternAf,Intensive,30.43622109,32.29423336,33.66169784,36.68577692,40.21416842,43.35347507,40.17709174,37.57336997,34.46033409,34.46033409,33.90177195,,,,,,,,,,,
TurkeyReg,Regrowth,0.578708014,,,,,,,,,,,,,,,,,,,,,
TurkeyReg,Extensive,5.541976585,5.541976585,5.541976585,5.851220091,5.541986329,5.541976585,5.541976585,5.541976585,5.541976585,5.541976585,5.541976585,,,,,,,,,,,
TurkeyReg,Intensive,4.12579466,4.477128673,4.414453673,5.802385041,5.758960458,5.647090829,5.536319062,5.316968808,5.140274175,5.034519893,4.711466101,,,,,,,,,,,
UkraineReg,Regrowth,2.455462153,2.265167335,2.208866115,2.199375183,2.005586915,1.671328683,1.256046105,1.256046105,1.256046105,1.256046105,1.256046105,,,,,,,,,,,
UkraineReg,Extensive,0.518432692,0.518432692,0.518432692,0.518432692,0.518432692,0.518432692,0.518432692,0.518432692,0.518432692,0.518432692,0.518432692,,,,,,,,,,,
UkraineReg,Intensive,5.459564336,5.459564336,5.459564336,5.459564336,5.587775222,5.587775222,5.587775222,5.587775222,5.587775222,5.587775222,5.587775222,,,,,,,,,,,
USAReg,Regrowth,161.2579604,161.2579604,161.2579604,161.2579604,157.2163291,150.7645681,145.2696345,139.4208325,134.4605233,129.9035183,124.6234657,,,,,,,,,,,
USAReg,Extensive,0.338692814,0.338692814,0.338692814,0.338692814,0.631296494,3.099040993,5.487576548,7.80227516,10.03108023,12.18959016,14.2844341,,,,,,,,,,,
USAReg,Intensive,78.31562359,78.11933559,77.95981559,77.95981559,80.18226693,82.65001143,85.03854698,87.35324559,89.58205066,91.7405606,93.83540453,,,,,,,,,,,
