Eco_code,VS_plants
AA0101,0.01196872
AA0102,0.017951363
AA0103,0
AA0104,0.024695895
AA0105,0.209932304
AA0106,0.05603117
AA0107,0.026245202
AA0108,0
AA0109,0
AA0110,0
AA0111,0.164042651
AA0112,0.073950957
AA0113,0.298426907
AA0114,0
AA0115,0.291801416
AA0116,0.06507595
AA0117,0.113564484
AA0118,0.038423334
AA0119,0.105115112
AA0120,0.123993913
AA0121,0.434292803
AA0122,0.286175848
AA0123,0.131723419
AA0124,0.142213534
AA0125,0
AA0126,0.171023447
AA0127,0.035758839
AA0128,0.148047122
AA0201,0.071088364
AA0202,0.716192329
AA0203,0.054154364
AA0204,0.094491488
AA0401,0.005361397
AA0402,0.170865105
AA0403,0.051936565
AA0404,0.039768948
AA0405,0.23852222
AA0406,0.114703534
AA0407,0.007650838
AA0408,0.041513264
AA0409,0.366027732
AA0410,0.140228843
AA0411,0.091605313
AA0412,0.100273074
AA0413,0.140990938
AA0414,0.025484816
AA0701,0.057959069
AA0702,0.221721978
AA0703,0.02952329
AA0704,0.266768344
AA0705,0.090333948
AA0706,0.178937756
AA0707,0.559838085
AA0708,0.120119177
AA0709,0.150205417
AA0801,0.27487645
AA0802,0.148867586
AA0803,0.238298414
AA1001,0.036602093
AA1002,0.07904487
AA1003,0.179783795
AA1101,0.004433102
AA1201,0.045948393
AA1202,0.310178653
AA1203,0.014183868
AA1204,0.039720367
AA1205,0.054470515
AA1206,0.005562582
AA1207,0.092499263
AA1208,0.009169954
AA1209,0.591365375
AA1210,0.19862212
AA1301,0.044288579
AA1302,0.064304269
AA1303,0.131001754
AA1304,0.540496606
AA1305,0.362560352
AA1306,0.310773285
AA1307,0.070596393
AA1308,0.242122301
AA1309,0.155472787
AA1310,0.172745331
AA1401,1
AT0101,0.069307492
AT0102,0.05224315
AT0103,0.015211111
AT0104,0.191358601
AT0105,0.011624703
AT0106,0.016564918
AT0107,0.034398211
AT0108,0.033797455
AT0109,0.014926546
AT0110,0.080828287
AT0111,0.089384072
AT0112,0.173787843
AT0113,0.003204141
AT0114,0.008729674
AT0115,0.02202642
AT0116,0.030013514
AT0117,0.194964686
AT0118,0.645048921
AT0119,0.046950362
AT0120,0.042484655
AT0121,0.001984661
AT0122,0.01679397
AT0123,0.038082844
AT0124,0.238937799
AT0125,0.042298587
AT0126,0.174451044
AT0127,0.026489409
AT0128,0.066350215
AT0129,0.107704851
AT0130,0.10454939
AT0201,0.461982799
AT0202,0.937971189
AT0203,0.027754548
AT0701,0.243947067
AT0702,0.148971557
AT0703,0.087126218
AT0704,0.269475413
AT0705,0.08002059
AT0706,0.175461611
AT0707,0.18775431
AT0708,0.008918314
AT0709,0.163298742
AT0710,0.002389932
AT0711,0.248884009
AT0712,0.196310475
AT0713,0.379848247
AT0714,0.013671689
AT0715,0.334474455
AT0716,0.075187027
AT0717,0.166092851
AT0718,0.177403214
AT0719,0.176737635
AT0721,0.090771882
AT0722,0.157453106
AT0723,0.210423748
AT0724,0.031749864
AT0725,0.210333464
AT0726,0.138494842
AT0801,0.029059642
AT0802,0
AT0803,0.038623449
AT0901,0.017172087
AT0902,0.071423043
AT0903,0.011760403
AT0904,0.003091832
AT0905,0.029783646
AT0906,0.026973848
AT0907,0.103540507
AT0908,0.271176641
AT1001,0.011410297
AT1002,0.033104751
AT1003,0.056272053
AT1004,0.155631788
AT1005,0.023782168
AT1006,0.011689224
AT1007,0.399809309
AT1008,0.118987281
AT1009,0.086585259
AT1010,0.003777034
AT1011,0.015016914
AT1012,0.042152317
AT1013,0.020699379
AT1014,0.006309354
AT1015,0.051095261
AT1201,0.117701596
AT1202,0.318998656
AT1203,0.174390672
AT1302,0.307329011
AT1303,0.009712286
AT1304,0.024111693
AT1305,0.114237761
AT1306,0.143673109
AT1307,0.018769194
AT1308,0
AT1309,0.619124275
AT1310,0.302289312
AT1311,0.420036233
AT1312,0.634595316
AT1313,0.068524886
AT1314,1
AT1315,0.258866408
AT1316,0.488893329
AT1318,0.048412808
AT1319,0.027291645
AT1320,0.525787703
AT1321,0.035831704
AT1322,0.127069324
AT1401,0.279704321
AT1402,0.119587332
AT1403,0.116076972
AT1404,0.297804297
AT1405,0.020000781
IM0101,0.016593731
IM0102,0.262442528
IM0103,0.188287625
IM0104,0.180997352
IM0105,0.071413867
IM0106,0.031317295
IM0107,0.072681328
IM0108,0.020145098
IM0109,0.023828474
IM0110,0
IM0111,0.162504578
IM0112,0.069275515
IM0113,0.118775398
IM0114,0.133587641
IM0115,0.061251931
IM0116,0.027218325
IM0117,0.149113359
IM0118,0.072875166
IM0119,0.061561789
IM0120,0.057229029
IM0121,0.041621425
IM0122,0.061041034
IM0123,0.221450873
IM0124,0.022635127
IM0125,0.004708219
IM0126,0.031283777
IM0127,0.023977662
IM0128,0.115775358
IM0129,0.281601898
IM0130,0.047105472
IM0131,0.080747796
IM0132,0.057859796
IM0133,0.005579275
IM0134,0.198869931
IM0135,0.10534125
IM0136,0.032731786
IM0137,0.135554216
IM0138,0.021189392
IM0139,0.039027667
IM0140,0.03475512
IM0141,0.015961422
IM0142,0.01153594
IM0143,0.055717864
IM0144,0.032506376
IM0145,0.019765071
IM0146,0.113519374
IM0147,0.026755799
IM0148,0
IM0149,0.068907453
IM0150,0.098573575
IM0151,0.067411324
IM0152,0.025091576
IM0153,0.176991035
IM0154,0.05792916
IM0155,0.013528355
IM0156,0.013292703
IM0157,0.075943311
IM0158,0.232103802
IM0159,0.133986585
IM0160,0.329822379
IM0161,0.309712969
IM0162,0.011780091
IM0163,0.047975615
IM0164,0.06871206
IM0165,0.088115535
IM0166,0.100894758
IM0167,0.089503447
IM0168,0.076651336
IM0169,0.011536688
IM0170,0.003999776
IM0171,0.015133587
IM0172,0.174373285
IM0201,0.10592909
IM0202,0.246911995
IM0203,0.069434849
IM0204,0.014637461
IM0205,0.073648177
IM0206,0.148391222
IM0207,0.135957174
IM0208,0.04001312
IM0209,0.036177052
IM0210,0.064952803
IM0211,0.039372344
IM0212,0.389908989
IM0301,0.208304608
IM0302,0.062158791
IM0303,0.020037858
IM0304,0.019123949
IM0401,0.052192037
IM0402,0.014504281
IM0403,0.124530745
IM0501,0.038138216
IM0502,0.102153109
IM0701,0.116537512
IM0901,0.004985627
IM1001,0.007466625
IM1301,0.219489682
IM1302,0.005427036
IM1303,0.059160048
IM1304,0.040118973
IM1401,0.029370582
IM1402,0.302510514
IM1403,0.004000509
IM1404,0.21622096
IM1405,1
IM1406,0.034942847
NA0201,0.02625782
NA0302,0.250655761
NA0303,0.06799642
NA0401,0.014886448
NA0402,0.024762448
NA0403,0.020513907
NA0404,0.038158435
NA0405,0.010053642
NA0406,0.093869779
NA0407,0.027307103
NA0408,0.011036465
NA0409,0.023170875
NA0410,0.055236598
NA0411,0.016924505
NA0412,0.00871846
NA0413,0.032629159
NA0414,0.03310804
NA0415,0.03578802
NA0416,0.059051291
NA0417,0.008340058
NA0501,0.033968294
NA0502,0.095137901
NA0503,0.023660389
NA0504,0.0037901
NA0505,0.028344145
NA0506,0.056333532
NA0507,0.019873805
NA0508,0.021061483
NA0509,0.042206671
NA0510,0.038435726
NA0511,0.046450857
NA0512,0.024785266
NA0513,0.002803782
NA0514,0.079961129
NA0515,0.004071883
NA0516,0.016824791
NA0517,0.026663823
NA0518,0.081611075
NA0519,0.01291534
NA0520,0.031468486
NA0521,0.015462862
NA0522,0.02312065
NA0523,0.024608483
NA0524,0.011001592
NA0525,0.008916422
NA0526,0.00208499
NA0527,0.015433113
NA0528,0.040838818
NA0529,0.02366798
NA0530,0.019980457
NA0601,0.009335058
NA0602,0.041508782
NA0603,0.007451581
NA0604,0.004746934
NA0605,0.046347543
NA0606,0.094557973
NA0607,0.063203356
NA0608,0.084320372
NA0609,0.083977799
NA0610,0.047477148
NA0611,0.003949543
NA0612,0.091316688
NA0613,0.049524717
NA0614,0.0836358
NA0615,0.000569918
NA0616,0.042509558
NA0617,0.008642192
NA0701,0.013013517
NA0801,0.19377679
NA0802,0.105449405
NA0803,0.048067
NA0804,0.061811896
NA0805,0.04548284
NA0806,0.009348092
NA0807,0.008801511
NA0808,0.043651105
NA0809,0.017470026
NA0810,0.044917142
NA0811,0.121622015
NA0812,0.023150472
NA0813,0.025766034
NA0814,0.010926846
NA0815,0.063470967
NA1101,0.020839023
NA1102,0
NA1103,0.009446756
NA1104,0.011823327
NA1105,0.003269403
NA1106,0.291012278
NA1107,0.018604296
NA1108,0.020660023
NA1109,0.020075484
NA1110,0.090476901
NA1111,0.038059575
NA1112,0.08077855
NA1113,0.016603811
NA1114,0.083262538
NA1115,0.137796093
NA1116,0.037628431
NA1117,0.046564608
NA1118,0.005772014
NA1201,0.106293097
NA1202,0.153560276
NA1203,0.049500569
NA1301,0.032787572
NA1302,0.096101061
NA1303,0.126132731
NA1304,0.704257432
NA1305,0.102139199
NA1306,0.013468371
NA1307,0.200715533
NA1308,0.040888148
NA1309,0.078839573
NA1310,0.090720013
NA1311,0.011349115
NA1312,0.061817868
NA1313,0.067115493
NT0101,0.05485317
NT0102,0.039059355
NT0103,0.321811933
NT0104,0.057155204
NT0105,0.095522937
NT0106,0.00397447
NT0107,0.071837399
NT0108,0.021806727
NT0109,0.094470052
NT0111,0.115232571
NT0112,0.019157707
NT0113,0.007996092
NT0114,0.004176546
NT0115,0.096700104
NT0116,0
NT0117,0.00666567
NT0118,0.130632874
NT0119,0.016192239
NT0120,0.122577622
NT0121,0.183743843
NT0122,0.010039372
NT0124,0.064400229
NT0125,0.179350937
NT0126,0.008798571
NT0127,0.224361021
NT0128,0.101457212
NT0129,0.039036105
NT0130,0.02190864
NT0131,0.056324056
NT0132,0.085011703
NT0133,0.112826982
NT0134,0.008149111
NT0135,0.295178952
NT0136,0.218283979
NT0137,0.029460201
NT0138,0.060410413
NT0139,0.057058648
NT0140,0.102176475
NT0141,0.038546612
NT0142,0.116609364
NT0143,0.072973814
NT0144,0.012913515
NT0145,0.175679204
NT0146,0.012407405
NT0147,0.048335111
NT0148,0.041054807
NT0149,0.033021501
NT0150,0.08653242
NT0151,0.084107823
NT0152,0.014767039
NT0153,0.288670507
NT0154,0.11972239
NT0155,0.07324436
NT0156,0.092947178
NT0157,0.08525769
NT0158,0.070043129
NT0159,0.041968748
NT0160,0.173605521
NT0161,0.006966001
NT0162,0.01408451
NT0163,0.052953538
NT0164,0.011112298
NT0165,0.053747907
NT0166,0.289353289
NT0167,0.010525366
NT0168,0.162321923
NT0169,0.061010087
NT0170,0.10895914
NT0171,0.035717376
NT0173,0.171024366
NT0174,0.085486519
NT0175,0.06590737
NT0176,0.061430912
NT0177,0.008576972
NT0178,0.068660002
NT0179,0.022741141
NT0180,0.125690598
NT0181,0.224349767
NT0182,0.183243615
NT0201,0.075386581
NT0202,0.077382687
NT0204,0.049410742
NT0205,0.085346526
NT0206,0.107688091
NT0207,0.049105365
NT0209,0.108940511
NT0210,0.473575702
NT0211,0.033055785
NT0212,0.189614744
NT0213,0.504684462
NT0214,0.051521076
NT0215,0.207694796
NT0216,0.038122568
NT0217,0.087246617
NT0218,0.035246888
NT0219,0.030081041
NT0220,0.037434168
NT0221,0.048623801
NT0222,0.04331489
NT0223,0.021337938
NT0224,0.014670104
NT0225,0.03080373
NT0226,0.012142464
NT0227,0.004450093
NT0228,0.18686859
NT0229,0.04980996
NT0230,0.059484474
NT0232,0.153395723
NT0233,0.027150732
NT0235,0.230937686
NT0301,0.141603307
NT0302,0.009679788
NT0303,0.119937286
NT0304,0.089361785
NT0305,0.11126497
NT0306,0.052586368
NT0307,0.001073569
NT0308,0.023876831
NT0309,0.077074477
NT0310,0.096479696
NT0401,0.004685844
NT0402,0.141416979
NT0404,0.337864032
NT0702,0.053799488
NT0703,0.037468942
NT0704,0.39505513
NT0705,0
NT0707,0.213037775
NT0708,0.322700281
NT0709,0.297305927
NT0710,0.117285896
NT0801,0.16861947
NT0802,0.119498988
NT0803,0.115722485
NT0805,0.259128436
NT0902,0.119237241
NT0903,0.035241989
NT0904,0.12350082
NT0905,0.032958345
NT0906,0.016883815
NT0907,0.073683219
NT0908,0.022318095
NT0909,0.012697053
NT1001,0.122544808
NT1002,0.201687766
NT1003,0.158583228
NT1004,0.033785312
NT1005,0.059862423
NT1006,0.182824307
NT1007,0.028062624
NT1008,0.089717315
NT1010,0.184943551
NT1201,0.24960428
NT1301,0.005508037
NT1303,0.072285457
NT1304,0.664429748
NT1305,0.148227342
NT1306,0.046647517
NT1307,0.40920981
NT1308,0.063290753
NT1309,0.078438001
NT1312,0.011474984
NT1313,0.027463839
NT1314,0.006114953
NT1315,0.102348213
NT1316,0.019535282
NT1318,NA
NT1401,0.599419745
NT1402,1
NT1403,0.745526525
NT1404,0.146702091
NT1405,0.604862636
NT1406,0.588117623
NT1407,0.169672209
OC0103,0.011755292
OC0105,0.220170414
OC0106,0.240810895
OC0108,0.041836063
OC0109,0
OC0110,0.059919759
OC0112,0.10158568
OC0114,0.014975499
OC0115,0.028512224
OC0117,0
OC0201,0.427222353
OC0202,0.314775537
OC0203,0.057705793
OC0701,0.452918294
OC0702,0.094327105
PA0101,0.047526778
PA0102,0.025550371
PA0401,0.004922006
PA0402,0.051871948
PA0403,0.127430505
PA0404,0.018730703
PA0405,0.01677731
PA0406,0.020161535
PA0407,0.070580603
PA0408,0.081052502
PA0409,0.031299841
PA0410,0.109286349
PA0411,0.072030006
PA0412,0.084571523
PA0413,0.029996665
PA0414,0.024797024
PA0415,0.085049923
PA0416,0.023296303
PA0417,0.01922158
PA0418,0.006685915
PA0419,0.098587877
PA0420,0.336807485
PA0421,0.008835785
PA0422,0.020499807
PA0423,0.058558386
PA0424,0.092234496
PA0425,0.02690745
PA0426,0.136511215
PA0427,0.038037363
PA0428,0.091343123
PA0429,0.014503353
PA0430,0.072556911
PA0431,0.030800409
PA0432,0.013815625
PA0433,0.017404591
PA0434,0.024123568
PA0435,0.042067198
PA0436,0.112636433
PA0437,0.019478197
PA0438,0.001344762
PA0439,0.003276225
PA0440,0.129471799
PA0441,0.058769505
PA0442,0.008674884
PA0443,0.065362954
PA0444,0.01927609
PA0445,0.046672168
PA0446,0.42696548
PA0501,0.070220725
PA0502,0.005944078
PA0503,0.008610005
PA0504,0.114013253
PA0505,0.027723831
PA0506,0.005439736
PA0507,0.15297216
PA0508,0.002959212
PA0509,0.281797527
PA0510,0.096616052
PA0511,0.026583714
PA0512,0.000215308
PA0513,0.016464
PA0514,0.046750098
PA0515,0.025515899
PA0516,0.185655366
PA0517,0.001078127
PA0518,0.14200038
PA0519,0.026828239
PA0520,0.001919431
PA0521,0.020669847
PA0601,0.289095206
PA0602,0.012538479
PA0603,0.022708452
PA0604,0.003169257
PA0605,0.204345524
PA0606,0.042207411
PA0607,0.008927756
PA0608,0.169199865
PA0609,0.021764278
PA0610,0.009929773
PA0611,0.2095408
PA0801,0.084130575
PA0802,0.009076838
PA0803,0.057530427
PA0804,0.020136275
PA0805,0.148038625
PA0806,0.005692653
PA0807,0.000333571
PA0808,0.065648445
PA0809,0.037302878
PA0810,0.05545321
PA0811,0.009523681
PA0812,0.020229456
PA0813,0.090306105
PA0814,0.254938664
PA0815,0.005383338
PA0816,0.024713465
PA0817,0.013419831
PA0818,0.100362928
PA0901,0.095042669
PA0902,0.027626522
PA0903,0.024333407
PA0904,0.006603708
PA0905,0.040665455
PA0906,0.00973362
PA0907,0.026357729
PA0908,0.011999334
PA1001,0.007154488
PA1002,0.0686444
PA1003,0.258142703
PA1004,0.024578797
PA1005,0.015750679
PA1006,0.014388169
PA1007,0.007745332
PA1008,0.067040939
PA1009,0.03529413
PA1010,0.011413002
PA1011,0.04903981
PA1012,0.101397705
PA1013,0.040464989
PA1014,0.168399158
PA1015,0.00884001
PA1016,0.008541496
PA1017,0.071497838
PA1018,0.013968712
PA1019,0.163700645
PA1020,0.021859796
PA1021,0.172227142
PA1022,0.021683356
PA1101,0.03865523
PA1102,0.022729033
PA1103,0.125691389
PA1104,0.019740875
PA1105,0.04327995
PA1106,0.006437964
PA1107,0.021222247
PA1108,0.029191147
PA1109,0.024489925
PA1110,0.026223799
PA1111,0.078963565
PA1112,0.048113083
PA1113,0.001884686
PA1114,0.052851925
PA1201,0.233073242
PA1202,0.170869161
PA1203,0.120456405
PA1204,0.009411327
PA1205,0.022384083
PA1206,0.028236545
PA1207,0.206022333
PA1208,0.051334545
PA1209,0.575618468
PA1210,0.066541737
PA1211,0.145117594
PA1212,0.062545014
PA1213,0.079144136
PA1214,0.330382928
PA1215,0.153360012
PA1216,0.195683833
PA1217,0.048648309
PA1218,0.029792113
PA1219,0.024644052
PA1220,0.090284567
PA1221,0.126488136
PA1222,0.115254769
PA1301,0.009300939
PA1302,0.10081425
PA1303,0.22879991
PA1304,0.008782954
PA1305,0.129677953
PA1306,0.051844239
PA1307,0.017374384
PA1308,0.162334646
PA1309,0.058559419
PA1310,0.33982932
PA1311,0.047917952
PA1312,0.257337863
PA1313,0.193903484
PA1314,0.072680145
PA1315,0.037532227
PA1316,0.024505987
PA1317,0.030637693
PA1318,0.344701332
PA1319,0.018641677
PA1320,0.022865079
PA1321,0.111636593
PA1322,0.041708178
PA1323,0.020649368
PA1324,0.067801031
PA1325,0.079899344
PA1326,0.170043863
PA1327,0.664653891
PA1328,0.047678125
PA1329,0.15454221
PA1330,0.190277496
PA1331,0.009910941
PA1332,0.031244374
PA1333,0.011693648
